date,product_id,demand,unit_price,total_sales,product_name,category
2022-01-01,P001,65,81.0,5265.0,Electronics Item 1,Electronics
2022-01-01,P002,70,40.64,2844.8,Home Goods Item 2,Home Goods
2022-01-01,P003,40,44.41,1776.4,Home Goods Item 3,Home Goods
2022-01-01,P004,59,9.11,537.49,Food Item 4,Food
2022-01-01,P005,68,11.39,774.52,Food Item 5,Food
2022-01-01,P006,52,41.58,2162.16,Home Goods Item 6,Home Goods
2022-01-01,P007,53,32.45,1719.85,Clothing Item 7,Clothing
2022-01-01,P008,48,95.21,4570.08,Electronics Item 8,Electronics
2022-01-01,P009,58,10.81,626.98,Food Item 9,Food
2022-01-01,P010,47,29.55,1388.85,Clothing Item 10,Clothing
2022-01-02,P001,61,81.0,4941.0,Electronics Item 1,Electronics
2022-01-02,P002,56,40.64,2275.84,Home Goods Item 2,Home Goods
2022-01-02,P003,52,44.41,2309.32,Home Goods Item 3,Home Goods
2022-01-02,P004,47,9.11,428.17,Food Item 4,Food
2022-01-02,P005,59,11.39,672.01,Food Item 5,Food
2022-01-02,P006,57,41.58,2370.06,Home Goods Item 6,Home Goods
2022-01-02,P007,45,32.45,1460.25,Clothing Item 7,Clothing
2022-01-02,P008,74,95.21,7045.54,Electronics Item 8,Electronics
2022-01-02,P009,53,10.81,572.93,Food Item 9,Food
2022-01-02,P010,54,29.55,1595.7,Clothing Item 10,Clothing
2022-01-03,P001,42,81.0,3402.0,Electronics Item 1,Electronics
2022-01-03,P002,44,40.64,1788.16,Home Goods Item 2,Home Goods
2022-01-03,P003,47,44.41,2087.27,Home Goods Item 3,Home Goods
2022-01-03,P004,50,9.11,455.5,Food Item 4,Food
2022-01-03,P005,48,11.39,546.72,Food Item 5,Food
2022-01-03,P006,74,41.58,3076.92,Home Goods Item 6,Home Goods
2022-01-03,P007,63,32.45,2044.35,Clothing Item 7,Clothing
2022-01-03,P008,66,95.21,6283.86,Electronics Item 8,Electronics
2022-01-03,P009,39,10.81,421.59,Food Item 9,Food
2022-01-03,P010,40,29.55,1182.0,Clothing Item 10,Clothing
2022-01-04,P001,46,81.0,3726.0,Electronics Item 1,Electronics
2022-01-04,P002,55,40.64,2235.2,Home Goods Item 2,Home Goods
2022-01-04,P003,47,44.41,2087.27,Home Goods Item 3,Home Goods
2022-01-04,P004,50,9.11,455.5,Food Item 4,Food
2022-01-04,P005,45,11.39,512.55,Food Item 5,Food
2022-01-04,P006,61,41.58,2536.38,Home Goods Item 6,Home Goods
2022-01-04,P007,43,32.45,1395.35,Clothing Item 7,Clothing
2022-01-04,P008,66,95.21,6283.86,Electronics Item 8,Electronics
2022-01-04,P009,51,10.81,551.31,Food Item 9,Food
2022-01-04,P010,44,29.55,1300.2,Clothing Item 10,Clothing
2022-01-05,P001,59,81.0,4779.0,Electronics Item 1,Electronics
2022-01-05,P002,43,40.64,1747.52,Home Goods Item 2,Home Goods
2022-01-05,P003,46,44.41,2042.86,Home Goods Item 3,Home Goods
2022-01-05,P004,63,9.11,573.93,Food Item 4,Food
2022-01-05,P005,74,11.39,842.86,Food Item 5,Food
2022-01-05,P006,52,41.58,2162.16,Home Goods Item 6,Home Goods
2022-01-05,P007,56,32.45,1817.2,Clothing Item 7,Clothing
2022-01-05,P008,65,95.21,6188.65,Electronics Item 8,Electronics
2022-01-05,P009,50,10.81,540.5,Food Item 9,Food
2022-01-05,P010,38,29.55,1122.9,Clothing Item 10,Clothing
2022-01-06,P001,42,81.0,3402.0,Electronics Item 1,Electronics
2022-01-06,P002,46,40.64,1869.44,Home Goods Item 2,Home Goods
2022-01-06,P003,57,44.41,2531.37,Home Goods Item 3,Home Goods
