date,product_id,event_type,quantity,expected_delivery,cost,stockout,stockout_cost
2022-01-01,P001,inventory,35,,1.48,False,0.0
2022-01-01,P002,inventory,30,,0.55,False,0.0
2022-01-01,P003,inventory,60,,1.34,False,0.0
2022-01-01,P004,inventory,41,,0.24,False,0.0
2022-01-01,P005,inventory,32,,0.25,False,0.0
2022-01-01,P006,inventory,48,,0.94,False,0.0
2022-01-01,P007,inventory,47,,0.57,False,0.0
2022-01-01,P008,inventory,52,,2.69,False,0.0
2022-01-01,P009,inventory,42,,0.32,False,0.0
2022-01-01,P010,inventory,53,,0.61,False,0.0
2022-01-02,P001,reorder,145,2022-01-08,8273.86,,
2022-01-08,P001,delivery,145,,0.0,,
2022-01-02,P001,inventory,0,,0.0,True,994.71
2022-01-02,P002,reorder,101,2022-01-06,2903.86,,
2022-01-06,P002,delivery,101,,0.0,,
2022-01-02,P002,inventory,0,,0.0,True,400.06
2022-01-02,P003,reorder,74,2022-01-07,2327.48,,
2022-01-07,P003,delivery,74,,0.0,,
2022-01-02,P003,inventory,8,,0.18,False,0.0
2022-01-02,P004,reorder,100,2022-01-04,651.51,,
2022-01-04,P004,delivery,100,,0.0,,
2022-01-02,P004,inventory,0,,0.0,True,34.52
2022-01-02,P005,reorder,54,2022-01-05,446.23,,
2022-01-05,P005,delivery,54,,0.0,,
2022-01-02,P005,inventory,0,,0.0,True,195.85
2022-01-02,P006,reorder,51,2022-01-08,1516.72,,
2022-01-08,P006,delivery,51,,0.0,,
2022-01-02,P006,inventory,0,,0.0,True,153.54
2022-01-02,P007,reorder,82,2022-01-07,1881.79,,
2022-01-07,P007,delivery,82,,0.0,,
2022-01-02,P007,inventory,2,,0.02,False,0.0
2022-01-02,P008,reorder,64,2022-01-11,4312.03,,
2022-01-11,P008,delivery,64,,0.0,,
2022-01-02,P008,inventory,0,,0.0,True,1117.29
2022-01-02,P009,reorder,140,2022-01-06,1074.78,,
2022-01-06,P009,delivery,140,,0.0,,
2022-01-02,P009,inventory,0,,0.0,True,65.23
2022-01-02,P010,reorder,67,2022-01-07,1406.65,,
2022-01-07,P010,delivery,67,,0.0,,
2022-01-02,P010,inventory,0,,0.0,True,9.62
2022-01-03,P001,reorder,91,2022-01-12,5212.06,,
2022-01-12,P001,delivery,91,,0.0,,
2022-01-03,P001,inventory,0,,0.0,True,1606.84
2022-01-03,P002,reorder,135,2022-01-08,3871.09,,
2022-01-08,P002,delivery,135,,0.0,,
2022-01-03,P002,inventory,0,,0.0,True,677.02
2022-01-03,P003,reorder,145,2022-01-11,4534.65,,
